team_abbreviation_home,team_abbreviation_away,season_type,label,min_avg5,fg_pct_home_avg5,fg3_pct_home_avg5,ft_pct_home_avg5,oreb_home_avg5,dreb_home_avg5,reb_home_avg5,ast_home_avg5,stl_home_avg5,blk_home_avg5,tov_home_avg5,pf_home_avg5,pts_home_avg5,home_wl_pre5,fg_pct_away_avg5,fg3_pct_away_avg5,ft_pct_away_avg5,oreb_away_avg5,dreb_away_avg5,reb_away_avg5,ast_away_avg5,stl_away_avg5,blk_away_avg5,tov_away_avg5,pf_away_avg5,pts_away_avg5,away_wl_pre5
PHI,BOS,Playoffs,0,245.0,0.4396,0.3608,0.7494000000000001,14.6,37.2,51.8,28.2,9.2,4.6,13.6,20.0,113.0,WWLWL,0.4498,0.3583999999999999,0.8026,10.8,31.2,42.0,19.0,7.0,7.6,15.0,23.4,103.0,WLWLL
LAL,SAC,Regular Season,0,245.0,0.4488000000000001,0.3274000000000001,0.7091999999999999,10.2,40.4,50.6,23.6,5.4,4.2,17.2,18.8,102.2,WWWLL,0.4344,0.3654,0.8002,7.2,34.0,41.2,21.4,6.2,3.6,11.4,18.8,98.8,WWWWL
HOU,SEA,Regular Season,0,240.0,0.4732,0.3348,0.7056,11.4,30.6,42.0,26.2,9.2,5.0,12.2,20.6,99.4,LLWLW,0.4534000000000001,0.3326,0.7538,8.8,28.4,37.2,21.0,8.0,5.0,13.2,27.6,98.6,WWWWL
DET,ATL,Regular Season,1,240.0,0.4518,0.3894,0.645,14.6,33.0,47.6,24.2,8.0,8.2,13.6,22.2,94.8,LLLLL,0.447,0.3433999999999999,0.8534,10.8,29.2,40.0,21.2,6.4,4.0,14.2,19.6,95.2,LWWWL
DET,CHI,Playoffs,0,240.0,0.446,0.2542000000000001,0.7544,16.6,31.8,48.4,22.4,3.8,6.2,9.8,23.2,97.6,LLLLL,0.4634,0.3743999999999999,0.7378,14.2,27.6,41.8,22.8,7.8,2.8,15.2,25.4,105.2,LWLWL
MIA,BOS,Regular Season,0,245.0,0.5044000000000001,0.4209999999999999,0.6394,8.0,28.2,36.2,20.2,7.2,6.6,16.6,19.6,93.8,WLLLL,0.4352,0.2958,0.7534000000000001,11.2,25.2,36.4,17.2,8.6,3.2,15.6,25.6,92.0,WLWLL
MIL,GSW,Regular Season,1,250.0,0.4294,0.2828,0.791,12.6,32.4,45.0,21.8,6.0,6.2,16.2,21.0,98.2,WLLWL,0.4396,0.3152,0.6649999999999999,10.2,33.4,43.6,22.8,6.0,2.6,13.8,23.2,90.6,LLWWW
NYK,MIL,Regular Season,1,245.0,0.4682,0.3964000000000001,0.8354000000000001,14.8,28.4,43.2,21.8,6.6,3.0,12.8,26.4,107.4,WWLWW,0.4444,0.402,0.8131999999999999,10.0,26.4,36.4,27.0,8.6,3.2,11.8,22.4,101.2,LLWWW
LAC,MIN,Regular Season,1,245.0,0.4600000000000001,0.3728,0.5754,8.8,37.2,46.0,26.6,8.4,6.2,12.6,23.2,102.8,WWWLL,0.4040000000000001,0.2569999999999999,0.8042,11.0,35.2,46.2,20.8,7.6,5.2,14.6,22.6,86.0,LLWWW
LAL,OKC,Regular Season,0,240.0,0.4864,0.3742000000000001,0.7542,11.4,31.2,42.6,24.6,10.4,7.2,16.8,18.8,110.4,WWWLL,0.3822,0.2788,0.6881999999999999,9.6,37.4,47.0,19.0,7.2,4.0,16.4,15.6,92.0,WLWWL
DET,CHA,Regular Season,1,240.0,0.4758000000000001,0.3754,0.7652,13.0,35.0,48.0,25.0,5.2,4.8,13.4,18.0,110.4,LLLLL,0.4939999999999999,0.3484,0.8580000000000002,7.6,29.0,36.6,28.2,10.6,5.0,13.6,19.8,112.0,LWLLL
PHI,ORL,Regular Season,1,240.0,0.4824,0.4002,0.8328,11.6,35.8,47.4,28.0,9.0,6.8,10.8,21.0,120.4,WWLWL,0.4250000000000001,0.3413999999999999,0.7254,11.8,36.6,48.4,21.8,5.0,4.6,11.4,18.6,104.6,WWLWW
CHI,SAS,Regular Season,0,240.0,0.4346,0.3432,0.6724,12.4,29.4,41.8,21.6,5.4,3.8,14.0,22.2,87.4,LLWLW,0.4093999999999999,0.3306,0.7438,17.4,31.8,49.2,21.8,9.6,6.0,14.0,19.4,98.8,WWLWL
POR,OKC,Regular Season,0,245.0,0.4758000000000001,0.3784000000000002,0.8446,10.0,32.2,42.2,24.4,6.8,4.6,10.8,19.0,123.4,LLLLL,0.4568,0.2835999999999999,0.71,14.6,33.8,48.4,21.8,7.2,5.2,14.2,26.2,117.0,WLWWL
BOS,MEM,Regular Season,0,240.0,0.423,0.3666000000000001,0.7796000000000001,10.0,31.6,41.6,21.4,7.8,6.4,15.4,24.4,89.4,WLLWL,0.4176,0.3292,0.7094,10.8,29.4,40.2,14.8,7.4,6.0,14.4,20.4,85.2,LWWWW
LAC,LAL,Regular Season,0,240.0,0.4439999999999999,0.3299999999999999,0.7096,16.4,27.4,43.8,25.0,11.6,5.8,17.4,24.8,110.8,WWWLL,0.502,0.5366,0.8146000000000001,14.4,32.0,46.4,27.4,8.8,5.4,17.0,21.4,111.8,LWWWW
HOU,LAC,Regular Season,0,245.0,0.4452,0.3582,0.8012,8.8,29.0,37.8,17.6,4.8,4.0,13.4,21.2,97.2,LLWLW,0.396,0.2316,0.8108000000000001,11.6,32.0,43.6,17.8,6.6,6.0,11.6,18.6,85.4,WLLWW
SAC,NOH,Regular Season,1,240.0,0.4950000000000001,0.4334,0.7522,11.6,34.0,45.6,18.4,7.0,6.0,18.0,20.8,105.6,LWWLL,0.4503999999999999,0.233,0.8109999999999999,11.4,30.4,41.8,19.0,7.2,3.4,19.2,25.6,92.6,LWWWL
LAC,NOP,Regular Season,1,240.0,0.4808,0.384,0.8024000000000001,11.8,31.8,43.6,22.2,5.8,3.4,14.2,22.8,111.6,WWWLL,0.4544,0.3016,0.7518,9.6,37.8,47.4,24.6,4.6,3.6,13.6,18.4,109.0,LLWLW
MIN,MIA,Regular Season,1,240.0,0.4720000000000001,0.2565999999999999,0.7308,11.6,37.2,48.8,27.0,5.0,6.2,12.4,18.8,95.2,LLWLW,0.412,0.2154,0.7687999999999999,9.8,27.6,37.4,17.6,5.4,6.0,18.2,20.8,77.2,WLWLW
GSW,NJN,Regular Season,0,240.0,0.4630000000000001,0.3716,0.8193999999999999,7.2,27.2,34.4,23.8,6.6,5.4,12.0,21.4,98.4,WLLWW,0.4065999999999999,0.4130000000000001,0.7392000000000001,11.8,27.2,39.0,16.8,9.6,6.0,14.0,18.2,86.2,WWLWW
PHX,PHI,Regular Season,1,240.0,0.4726000000000001,0.396,0.7922,6.8,31.2,38.0,24.8,6.8,6.4,12.6,19.2,99.8,WWWWL,0.49,0.5428,0.7638,7.6,25.4,33.0,18.6,7.8,3.4,14.6,24.0,97.6,LLWLW
PHX,HOU,Regular Season,1,240.0,0.4894,0.2234,0.7368,14.2,29.6,43.8,28.8,6.8,5.0,13.6,24.4,109.6,WWWWL,0.4614000000000001,0.2966,0.8051999999999999,15.4,26.0,41.4,24.4,9.2,6.0,14.0,24.2,103.8,WWWLL
DET,ATL,Regular Season,0,240.0,0.435,0.4462,0.737,9.8,31.0,40.8,18.8,7.6,4.8,15.6,20.2,84.8,LLLLL,0.4184,0.3164,0.7782,14.0,30.0,44.0,18.0,8.8,5.2,12.8,20.2,89.4,LWWWL
NJN,ATL,Regular Season,1,240.0,0.4136,0.3369999999999999,0.741,16.4,30.6,47.0,17.2,6.0,7.6,15.8,23.2,91.4,LLLLL,0.488,0.396,0.7544,8.2,30.6,38.8,17.0,8.4,5.6,13.0,17.0,94.6,LWWWL
DET,PHX,Regular Season,1,245.0,0.4751999999999999,0.3404,0.7654,11.6,28.2,39.8,21.2,8.0,3.4,11.8,19.2,99.8,LLLLL,0.4746,0.4258,0.7274,5.0,29.2,34.2,19.6,7.8,4.4,14.4,20.2,88.4,LLWWW
